"Story","Title","Result","Date","Stability","Duration (s)"
"Register user","User succesfully registered","ERROR","2017-03-10T09:43:49.675+02:00","0.0","15.6"
"Register user","User tries to register without password","SUCCESS","2017-03-10T09:43:37.688+02:00","0.0","11.84"
